time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:35:51.104969,23.98,100897.14,41.47,35.68,-0.53,-0.92,-9.77,0.09,-0.12,-0.09,443,2,2,2,4,-1
2021-05-17 15:35:51.585011,23.98,100896.30,41.30,35.75,-0.55,-0.90,-9.72,0.09,-0.12,-0.09,99,2,2,2,4,-1
2021-05-17 15:35:52.064855,23.99,100897.53,41.22,35.65,-0.55,-0.90,-9.71,0.09,-0.12,-0.09,119,2,2,2,4,-1
2021-05-17 15:35:52.544768,23.98,100896.64,41.11,35.73,-0.55,-0.89,-9.73,0.09,-0.12,-0.09,291,2,2,2,5,-1
2021-05-17 15:35:53.024970,23.99,100901.65,41.06,35.31,-0.51,-0.85,-9.70,0.09,-0.12,-0.09,228,2,2,2,5,-1
2021-05-17 15:35:53.504967,23.99,100901.05,40.95,35.36,-0.55,-0.92,-9.72,0.09,-0.12,-0.09,346,2,2,2,5,-1
2021-05-17 15:35:53.984997,23.99,100901.55,40.89,35.32,-0.53,-0.92,-9.68,0.09,-0.12,-0.09,260,2,2,2,5,-1
2021-05-17 15:35:54.464930,23.98,100899.66,40.84,35.47,-0.60,-0.83,-9.75,0.09,-0.12,-0.09,288,2,2,2,5,-1
2021-05-17 15:35:54.944413,23.98,100898.05,40.79,35.61,-0.58,-0.86,-9.70,0.09,-0.12,-0.10,261,2,2,2,5,-1
2021-05-17 15:35:55.425021,23.98,100901.40,40.82,35.33,-0.44,-0.98,-9.71,0.09,-0.12,-0.09,90,2,2,2,5,-1
2021-05-17 15:35:55.904982,23.98,100897.62,40.78,35.64,-0.47,-0.99,-9.71,0.09,-0.12,-0.09,168,2,2,2,5,-1
2021-05-17 15:35:56.385058,23.98,100898.12,40.72,35.60,-0.59,-0.90,-9.68,0.09,-0.12,-0.09,186,2,2,2,5,-1
